city,convention,n_sites,n_sites_before_intersection,n_pairs,mean_pair_m,median_pair_m,p90_pair_m,mean_pair_over_range,mean_pair_m_tilt_0-1.5,n_pairs_tilt_0-1.5,median_pair_m_grade_0-1.5,n_pairs_grade_0-1.5,median_pair_m_relroad_0-1.5,n_pairs_relroad_0-1.5,mean_pair_m_tilt_1.5-3,n_pairs_tilt_1.5-3,median_pair_m_grade_1.5-3,n_pairs_grade_1.5-3,median_pair_m_relroad_1.5-3,n_pairs_relroad_1.5-3,mean_pair_m_tilt_3-5,n_pairs_tilt_3-5,median_pair_m_grade_3-5,n_pairs_grade_3-5,median_pair_m_relroad_3-5,n_pairs_relroad_3-5,mean_pair_m_tilt_5-10,n_pairs_tilt_5-10,median_pair_m_grade_5-10,n_pairs_grade_5-10,median_pair_m_relroad_5-10,n_pairs_relroad_5-10,mean_pair_m_tilt_10+,n_pairs_tilt_10+,median_pair_m_grade_10+,n_pairs_grade_10+,median_pair_m_relroad_10+,n_pairs_relroad_10+
clovis,pitch-flipped,1532,1560,22468,5.156241246177635,4.014127286674376,10.475772682091456,0.3893025846385349,2.452807121680451,1612,3.925517042925174,20556,3.7160464206607067,11961,3.713374854166837,7562,4.15937280053181,614,4.023098992102396,7765,5.659043060258439,9583,4.160952624389833,49,5.511619951353352,1411,7.972339785853942,3711,3.89413607157227,101,4.162294683774161,176,,0,6.173974502701156,73,6.173974502701156,80
clovis,roll-flipped,1532,1560,22468,3.738510735370549,2.6013619499057272,7.89565500133912,0.25939882757999105,2.567138139287727,1612,2.576424343087819,20556,2.061852190254599,11961,3.2249203227596315,7562,3.322916240716837,614,3.2802935590173683,7765,3.9926257529075486,9583,3.2641657285008296,49,4.264389039338727,1411,4.637685920493752,3711,2.569169090431561,101,3.353854211619934,176,,0,3.2295765835326233,73,3.3059034546449646,80
clovis,both-flipped,1532,1560,22468,6.106032839078617,4.594438112450051,12.60205575479375,0.4340535118091797,2.96375215654634,1612,4.51788261117123,20556,4.020394413680921,11961,4.519510097715599,7562,5.021470077526782,614,5.023657430174983,7765,6.751689285485059,9583,4.487371850961808,49,6.271498503034624,1411,9.036594872092962,3711,4.465089525379135,101,5.191921836320822,176,,0,7.016651132527679,73,7.016651132527679,80
clovis,pitch-only,1532,1560,22468,2.5033198337530087,1.8537946979107751,5.402750786989132,0.18747844556566362,2.1317219778625147,1612,1.8299421312182391,20556,1.654563534731903,11961,2.301437412335444,7562,2.3667684044710837,614,2.0599934583253736,7765,2.5588508607993656,9583,1.5877967690002657,49,2.5641312013644573,1411,2.9327180504789223,3711,1.8989768433678498,101,2.4165083868095714,176,,0,2.523471528326176,73,2.695978153174213,80
clovis,roll-only,1532,1560,22468,2.8916209370356425,2.364274867102837,5.904499073541834,0.2318571168788915,2.0964875174831126,1612,2.3137077663129135,20556,2.231029277717925,11961,2.3868774419098244,7562,2.51653968266827,614,2.320778401306676,7765,3.02554725605392,9583,2.47286995146103,49,3.2263705064705888,1411,3.9197021731735995,3711,2.862783093292112,101,2.720759491605062,176,,0,3.1308624122684723,73,3.1308624122684723,80
clovis,road-relative,1532,1560,22468,2.238176399743354,1.5789915438560052,4.872187253551558,0.16726624639984877,2.0513136665161813,1612,1.5312315040501097,20556,1.506426354048242,11961,2.1071443024516565,7562,2.0793675179997866,614,1.6218500396327473,7765,2.2125505949030995,9583,2.552455707097353,49,1.5472211824425017,1411,2.6525282007312776,3711,1.9450697699986417,101,1.3133781173839127,176,,0,8.964713776277781,73,8.991590457857038,80
morgantown,off,1201,1359,32389,2.681887909615217,2.114513423585643,5.742729776016804,0.23163546039585833,2.507650510841736,2940,2.1870829196114774,10280,2.087613870937023,27410,2.650046268498939,9749,2.1314555709043113,10841,2.2116210754241217,3889,2.743841673171396,12533,1.9921899685391098,6745,2.231009720487365,661,2.673220396976854,6704,2.0883967714553373,4255,2.9878596674245945,366,2.907206695175951,463,1.7898843558382294,217,4.4623489469209465,12
morgantown,documented,1201,1359,32389,4.450608713250721,2.607480705831725,9.488401594874148,0.3054009133214043,2.4984341866663047,2940,2.0464666691432396,10280,2.597566601593564,27410,3.119076859711547,9749,2.445747047180968,10841,2.6113268017205318,3889,4.20686412929619,12533,3.209351442926458,6745,2.726472398534799,661,7.471910722448892,6704,4.5966410354835165,4255,3.018290051651402,366,7.734710979663647,463,5.845521299278152,217,3.9803170501553793,12
morgantown,pitch-flipped,1201,1359,32389,5.516715577915456,3.1680502992439155,11.630075319958248,0.37133623072236566,2.78575938968378,2940,2.4144043595579694,10280,3.1036898612198405,27410,3.5258045419699124,9749,3.047019587283399,10841,3.3907929401994625,3889,5.744211170115229,12533,4.037832487387857,6745,3.7192479745128644,661,8.813470487030655,6704,4.88946254436316,4255,4.985022476922958,366,10.885518418274424,463,5.336050201126461,217,5.493759523762201,12
morgantown,roll-flipped,1201,1359,32389,5.603164122404064,3.328339145083263,11.751010675342389,0.37526950138821796,2.704417887839472,2940,2.7604875919263625,10280,3.270986220968709,27410,3.7745120164998642,9749,3.229476542862943,10841,3.6798454494526998,3889,5.817924912555136,12533,3.6555409831323002,6745,3.5725181573365483,661,8.766548394929945,6704,4.975035520940807,4255,4.113432479229582,366,10.896723872086714,463,5.678039321379773,217,3.2385633787566093,12
