city,signal,dist_bin_m,vintage,n_pairs,r,rms_diff_over_sqrt2,abs_diff_p50,slope_abs_p50
paterson,rig_attitude,50-80,all,113160,0.2726600460850551,1.6689012355283281,1.0370854929156983,1.0266311983679832
paterson,rig_attitude,50-80,same,66468,0.43636083002507475,1.4619432765166942,0.8223914489642341,1.031699633105184
paterson,rig_attitude,50-80,different,46692,0.04541872692932771,1.9255180067094138,1.363665887723339,1.0199918174905234
gainesville,depth,0-5,all,208,0.2895827045182144,1.0710304408477656,0.6723917739295273,0.7765541871258046
gainesville,depth,0-5,same,174,0.371693681184838,1.0186034116036484,0.657994543845483,0.7389531426634866
gainesville,depth,0-5,different,34,-0.14813689978457517,1.3068134157692102,1.3398935438424138,0.9541606636315279
gainesville,depth,5-10,all,10158,0.2524218965974727,1.0412770449589714,0.563292318619215,0.7790887291952879
gainesville,depth,5-10,same,9118,0.3008824849055534,0.993689615686997,0.5147348082506207,0.7828884381817354
gainesville,depth,5-10,different,1040,-0.08269149707061466,1.3904221378297454,1.1507711433484857,0.724170793710866
gainesville,depth,10-15,all,23759,0.2756149763253269,1.0089658944400988,0.5604873518139807,0.8034651735719862
gainesville,depth,10-15,same,21827,0.30686392510818206,0.9831677332132613,0.5263562231305015,0.8086808043937375
gainesville,depth,10-15,different,1932,-0.047008032289760165,1.2643714074287011,1.1100881905075703,0.7185320129947225
gainesville,depth,15-20,all,13356,0.09318884214493722,1.1934571219268357,0.8623890610160587,0.7771633995102064
gainesville,depth,15-20,same,10194,0.14050310625883833,1.1472447058789161,0.7816492469447225,0.7773380387370015
gainesville,depth,15-20,different,3162,-0.04329073720038606,1.3315661736406004,1.1427691879161757,0.7748698891830788
gainesville,depth,20-30,all,42817,0.17921250562517418,1.1114720458869478,0.7819998832388968,0.8061546101928029
gainesville,depth,20-30,same,34462,0.23144682659193602,1.0662027901891493,0.7033114056333415,0.8169869771212641
gainesville,depth,20-30,different,8355,-0.01826842639485635,1.281402230626439,1.1267229572885116,0.7411173592045365
gainesville,depth,30-50,all,96450,0.13192396313649396,1.1645967956617402,0.863841232688451,0.8110598657504037
gainesville,depth,30-50,same,72659,0.18484643825309569,1.1173297768097592,0.7805968954054919,0.8246161960890123
gainesville,depth,30-50,different,23791,-0.017331132708706252,1.2983433900434231,1.1241830154325305,0.7554599721457939
gainesville,depth,50-80,all,121697,0.14128148347493596,1.1514408581222582,0.8603918022237009,0.8209993579748799
gainesville,depth,50-80,same,89635,0.19652472579483304,1.1072500934846945,0.7768820260642639,0.8380729912991497
gainesville,depth,50-80,different,32062,-0.006463150131814881,1.2668313834620766,1.0874412215980616,0.7571080055941687
gainesville,depth_well_determined,0-5,all,91,0.16380624063119664,0.9345997378881112,0.6389267384302906,0.6921998736898313
gainesville,depth_well_determined,0-5,same,78,0.27585884193314375,0.8731751071649707,0.6042274844430432,0.682045862777841
gainesville,depth_well_determined,0-5,different,13,-0.016297899998911937,1.2408578015986906,0.7183166971001496,0.9986592797458406
gainesville,depth_well_determined,5-10,all,5760,0.3568674312826765,0.8646350397365238,0.4560102627768826,0.7693612781623513
gainesville,depth_well_determined,5-10,same,5199,0.41800432104104596,0.8093550569108644,0.41797423250056964,0.776380324299101
gainesville,depth_well_determined,5-10,different,561,-0.06583989391752156,1.2669569311042468,1.1667821303979709,0.7127989447587812
gainesville,depth_well_determined,10-15,all,13645,0.36003508292564307,0.8629772660710681,0.4679622839851604,0.7966235080957134
gainesville,depth_well_determined,10-15,same,12609,0.3966289497489183,0.8358464037171849,0.43805870355870064,0.8042000270954253
gainesville,depth_well_determined,10-15,different,1036,-0.05879937364161294,1.1426683331169998,1.042358610661335,0.6856304404605557
gainesville,depth_well_determined,15-20,all,7366,0.10564783418731269,1.07676493923329,0.7863637882030264,0.7547560971975606
gainesville,depth_well_determined,15-20,same,5665,0.1587895669378314,1.0333458213869768,0.7078166182315964,0.7579235419265539
gainesville,depth_well_determined,15-20,different,1701,-0.05643983796665238,1.2101861774034135,1.0508324975999441,0.7410311654458198
gainesville,depth_well_determined,20-30,all,24040,0.2229263494608318,0.9927488255203399,0.7021580714112322,0.7916980925056191
gainesville,depth_well_determined,20-30,same,19646,0.28044394022892283,0.9504738838853758,0.6245790752742924,0.8081033197720662
gainesville,depth_well_determined,20-30,different,4394,-0.020920737328860652,1.1631204476086698,1.0914695623208606,0.6941067520192867
gainesville,depth_well_determined,30-50,all,54001,0.17056209351764026,1.0417759511314855,0.7837288199205686,0.8005597954913011
gainesville,depth_well_determined,30-50,same,41468,0.22671281851202926,1.003621722338749,0.7026558829226479,0.8168983417404265
gainesville,depth_well_determined,30-50,different,12533,-0.011628407473893347,1.1590989434241292,1.0617214473543208,0.7292476204463817
gainesville,depth_well_determined,50-80,all,68781,0.17591255189458121,1.039757068930786,0.7895915701503978,0.8099005882859122
gainesville,depth_well_determined,50-80,same,51520,0.23662621321020727,1.0015542265718758,0.7075692252130079,0.8303624180803513
gainesville,depth_well_determined,50-80,different,17261,-0.006466563618717796,1.1462365502584853,1.0346660826051388,0.7251688412239067
gainesville,rig_attitude,0-5,all,208,0.4200837695453464,1.1345831037866954,0.4875526358959579,1.0150548135396527
gainesville,rig_attitude,0-5,same,174,0.5216510402523712,1.041640608238105,0.44645479538664445,0.9173309846385637
gainesville,rig_attitude,0-5,different,34,-0.06752064624340444,1.5239399127773965,1.056887429353635,1.2006074661448876
