city,site_set,arm,n_sites,n_sites_before_intersection,n_pairs,median_pair_m,mean_pair_m,p90_pair_m,mean_pair_over_range,n_pairs_both_measured,median_pair_m_both_measured,n_pairs_welldet,median_pair_m_welldet,n_pairs_welldet_grade_2+,median_pair_m_welldet_grade_2+,median_pair_m_grade_0-1,mean_pair_m_grade_0-1,p90_pair_m_grade_0-1,n_pairs_grade_0-1,median_pair_m_tilt_0-1,n_pairs_tilt_0-1,median_pair_m_grade_1-2,mean_pair_m_grade_1-2,p90_pair_m_grade_1-2,n_pairs_grade_1-2,median_pair_m_tilt_1-2,n_pairs_tilt_1-2,median_pair_m_grade_2-4,mean_pair_m_grade_2-4,p90_pair_m_grade_2-4,n_pairs_grade_2-4,median_pair_m_tilt_2-4,n_pairs_tilt_2-4,median_pair_m_grade_4+,mean_pair_m_grade_4+,p90_pair_m_grade_4+,n_pairs_grade_4+,median_pair_m_tilt_4+,n_pairs_tilt_4+
paterson,uncapped_4arm,ground-normal,5899,5999,37975,2.8500352973248133,4.15719736704176,7.9385951029283275,0.2652213721348163,31670,2.9807104061152883,10503,2.8661439177621686,1108,4.118275870748789,2.620056044120168,3.229393925683703,6.271147656874867,14539,2.3884758739488383,3576,3.0396147924143904,3.9814256648374062,8.266064383005032,10984,2.64418061368628,12353,3.9591745521073687,6.6272955044295,15.146704500163247,4928,3.225846390875557,11450,5.4677171855636075,11.780243789945917,34.05354782550871,1219,4.69539634157992,4291
paterson,uncapped_4arm,shuffled-normal,5899,5999,37975,2.9852462193281784,4.504636792073273,8.604441420391892,0.2811894697569404,31670,3.1415423122015698,10503,3.204395476750692,1108,3.4780092541574663,3.037535228213302,4.539189670934102,8.866961833554678,14539,3.1144048610981527,3576,3.238147722249257,4.890391374622063,9.31001887517086,10984,3.063982216934005,12353,3.2369304250321798,4.977369272700057,9.27057238060684,4928,3.2268079196390134,11450,3.259404111213783,4.866057635609568,8.917961731868543,1219,3.1933887362554545,4291
paterson,uncapped_4arm,rig-attitude-normal,5899,5999,37975,2.869542268908759,4.080941728522522,7.935489403686618,0.2644993424464068,31670,2.9954923424667754,10503,2.9846334829568812,1108,3.548776233055776,2.8032953049412654,3.8464686899077036,7.678191868407647,14539,2.703894008238778,3576,3.1551491085735575,4.569657519028076,8.778374275583912,10984,2.889230023001075,12353,3.2480636286339575,4.676503161615851,8.919518644755671,4928,3.146536390663355,11450,3.034952547492954,4.899694164494471,8.661165174886392,1219,3.1312878340875887,4291
paterson,capped_4arm,off,3565,5999,18323,2.1345477402680766,2.4056996227216163,4.563432973990268,0.1853241852995261,14573,2.166086864484516,4977,2.2456526676210227,434,2.427881561353693,2.0866506855470814,2.3887638680493386,4.670092646165195,7138,2.197026693651205,1791,2.2916905385023285,2.5202666243930922,4.685122465009438,4933,2.1628121929920927,5760,2.142541956954328,2.4056950700624116,4.515321237396185,2009,2.1753482014673544,5198,2.1683963316090153,2.453616579844329,4.691151945617133,493,2.129621036151813,1824
paterson,capped_4arm,ground-normal,3565,5999,18323,2.451060708989773,2.9237743088842194,5.665428172968817,0.2289832053921534,14573,2.5101306222030004,4977,2.44487915641152,434,2.8419440257188127,2.3549822683204105,2.7958102861867276,5.4609361708703,7138,2.1836177990021866,1791,2.5189495128671306,2.9787293321807105,5.770557918368919,4933,2.325341895841658,5760,2.928531364363669,3.485548368590162,6.585047459150243,2009,2.643121377895988,5198,3.721625615629277,4.586880461462084,9.427476873170361,493,3.408237542130493,1824
paterson,capped_4arm,shuffled-normal,3565,5999,18323,2.5489082663928064,3.0700755501645998,6.016983135410154,0.23963496586044686,14573,2.647203181164009,4977,2.6875677146737558,434,2.7428669182768566,2.568682760257817,3.136799496637237,6.31760104852501,7138,2.6536301229061907,1791,2.777345110581485,3.2813208438992407,6.3385326407296985,4933,2.6175095227823664,5760,2.6650093692876227,3.1838212221527047,6.161302062532364,2009,2.6938448978613674,5198,2.412711065623539,3.166973912892836,6.430907300402704,493,2.643029569779603,1824
paterson,capped_4arm,rig-attitude-normal,3565,5999,18323,2.4975721410369283,2.950006275614291,5.738815434607973,0.23081503601095782,14573,2.569797833797484,4977,2.5125855934616332,434,2.7955878271262025,2.4785439802036757,2.941711881520298,5.779982793955834,7138,2.391623747005447,1791,2.6604742729000654,3.152960257450467,6.1128486532328346,4933,2.5031679361840684,5760,2.647147607305529,3.0743580720877004,5.955165484936517,2009,2.6623778267251383,5198,2.7754124206889226,3.2112460688051363,6.304792649009762,493,2.7216180291302225,1824
gainesville,uncapped,off,3366,3372,17583,2.632387951523399,2.8714007654719036,5.235802950900881,0.20521972757634147,10832,2.7901005238139476,5947,2.9002734721589083,381,2.8425451006833238,2.645153392012757,2.8571849413484487,5.202398389431721,5508,2.7398135855447854,1488,2.979474928230527,3.158608801925448,5.537395342562337,4351,2.8407884158644237,5340,2.723317554454039,2.949142824851109,5.3006427954923465,914,2.7409351876683985,3676,2.7554908732504595,3.134179919867872,5.803766528868144,59,2.718256832068104,328
gainesville,uncapped,ground-normal,3366,3372,17583,2.9798178775080446,3.6908359575649192,7.188977987520009,0.24842257086380432,10832,3.262643360485728,5947,3.229984475566169,381,3.532503639285066,2.985910866102082,3.4609969726281413,6.586728988826674,5508,2.8583895469582736,1488,3.5615555867905018,4.396429180410796,8.7042249869603,4351,3.130132226550996,5340,3.862687646309259,5.3786297541303645,11.2662893897262,914,3.7351893407985055,3676,4.896589005958658,14.922848521877842,54.08287496904691,59,3.9071400158194254,328
gainesville,uncapped,shuffled-normal,3366,3372,17583,3.055419805281253,3.984715866295094,7.79738513339791,0.2590766261320837,10832,3.4193996639724964,5947,3.5012364068680735,381,3.1562929412776963,3.3255931187335688,4.270867753578088,8.445927525506532,5508,3.4330770503745804,1488,3.581942843964417,4.739281684393025,8.82438973823978,4351,3.4795277396059525,5340,3.1670819204817002,4.293526041606769,8.508349573199759,914,3.307155136357332,3676,3.2372089346981237,3.980233624368801,6.563728786121579,59,3.640728091778662,328
