city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
gainesville,0.3000,frozen@b,b1.00,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@b,b1.00,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@b,b1.00,5.0000,2019,6,1.7944,1.2047,3.3702,0.1546,7.7943
gainesville,0.3000,frozen@b,b1.00,5.0000,2021,2,-1.2788,-1.2788,-0.2021,-0.1831,6.9835
gainesville,0.3000,frozen@b,b1.00,5.0000,2022,19,0.1561,-0.6629,1.0185,0.0137,11.6832
gainesville,0.3000,frozen@b,b1.00,5.0000,2023,29,0.2453,-0.5315,1.0577,0.0194,11.5454
gainesville,0.3000,frozen@b,b1.00,5.0000,2024,55,-0.3444,-0.8659,0.3608,-0.0343,11.2673
gainesville,0.3000,frozen@b,b1.00,5.0000,2025,22,-1.1037,-1.8803,-0.3328,-0.1390,9.8952
gainesville,0.3000,frozen@b,b1.00,5.0000,2026,1277,-0.6869,-1.7437,0.0975,-0.0673,10.1887
gainesville,0.3000,frozen@b,b1.00,5.0000,mixed,1015,-0.3769,-1.0363,0.2029,-0.0304,11.9247
gainesville,0.3000,frozen@c,a,5.0000,2007,1,2.4804,2.4804,2.4804,0.3087,8.0355
gainesville,0.3000,frozen@c,a,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@c,a,5.0000,2014,4,0.4835,0.0756,0.4835,0.0717,9.3952
gainesville,0.3000,frozen@c,a,5.0000,2015,9,-0.5166,-0.5949,-0.3443,-0.0682,8.7219
gainesville,0.3000,frozen@c,a,5.0000,2018,23,-0.4875,-0.8895,-0.0804,-0.0405,10.4741
gainesville,0.3000,frozen@c,a,5.0000,2019,7,1.9906,1.7944,2.7801,0.2249,7.7943
gainesville,0.3000,frozen@c,a,5.0000,2021,3,-0.0373,-0.2267,0.5607,-0.0041,9.1367
gainesville,0.3000,frozen@c,a,5.0000,2022,18,0.3952,-0.0588,1.4275,0.0581,10.9038
gainesville,0.3000,frozen@c,a,5.0000,2023,31,0.3209,-0.1093,1.4975,0.0318,12.8732
gainesville,0.3000,frozen@c,a,5.0000,2024,51,0.2151,-0.3679,0.7582,0.0165,11.9200
gainesville,0.3000,frozen@c,a,5.0000,2025,24,-0.1106,-0.5440,0.1267,-0.0070,13.4521
gainesville,0.3000,frozen@c,a,5.0000,2026,1359,0.8305,0.0779,1.6150,0.0581,14.8380
gainesville,0.3000,frozen@c,a,5.0000,mixed,1104,0.3299,-0.2852,0.9008,0.0224,14.8565
gainesville,0.3000,frozen@c,b,5.0000,2007,1,1.7003,1.7003,1.7003,0.2343,7.2554
gainesville,0.3000,frozen@c,b,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@c,b,5.0000,2014,4,0.0012,-0.1255,0.0012,0.0001,8.7903
gainesville,0.3000,frozen@c,b,5.0000,2015,9,-0.5166,-1.0640,-0.3443,-0.0703,8.1400
